Dates,PX_MID
1/30/04,1.3252
2/27/04,1.33425
3/31/04,1.3093
4/30/04,1.3722
5/31/04,1.36235
6/30/04,1.3328
7/30/04,1.33135
8/31/04,1.3127
9/30/04,1.26125
10/29/04,1.21765
11/30/04,1.18735
12/31/04,1.2019
1/31/05,1.2398
2/28/05,1.23388
3/31/05,1.21035
4/29/05,1.2583
5/31/05,1.25485
6/30/05,1.2251
7/29/05,1.2233
8/31/05,1.1878
9/30/05,1.163
10/31/05,1.1822
11/30/05,1.16565
12/30/05,1.162
1/31/06,1.13895
2/28/06,1.13685
3/31/06,1.16855
4/28/06,1.117
5/31/06,1.1016
6/30/06,1.117
7/31/06,1.13135
8/31/06,1.10368
9/29/06,1.118
10/31/06,1.12225
11/30/06,1.1403
12/29/06,1.16575
1/31/07,1.1769
2/28/07,1.16995
3/30/07,1.154
4/30/07,1.1097
5/31/07,1.0689
6/29/07,1.06535
7/31/07,1.06655
8/31/07,1.05565
9/28/07,0.99225
10/31/07,0.9431
11/30/07,0.99865
12/31/07,0.9984
1/31/08,1.00285
2/29/08,0.9878
3/31/08,1.0253
4/30/08,1.00795
5/30/08,0.9934
6/30/08,1.02155
7/31/08,1.0246
8/29/08,1.06375
9/30/08,1.06445
10/31/08,1.2125
11/28/08,1.23985
12/31/08,1.21878
1/30/09,1.2296
2/27/09,1.27628
3/31/09,1.2602
4/30/09,1.1925
5/29/09,1.09154
6/30/09,1.16235
7/31/09,1.07761
8/31/09,1.09378
9/30/09,1.0695
10/30/09,1.08475
11/30/09,1.0563
12/31/09,1.05325
1/29/10,1.07044
2/26/10,1.05175
3/31/10,1.0153
4/30/10,1.0179
5/31/10,1.04453
6/30/10,1.06391
7/30/10,1.02975
8/31/10,1.0656
9/30/10,1.02923
10/29/10,1.0194
11/30/10,1.0264
12/31/10,0.998
1/31/11,1.00096
2/28/11,0.97158
3/31/11,0.9706
4/29/11,0.94506
5/31/11,0.96848
6/30/11,0.96336
7/29/11,0.95521
8/31/11,0.9777
9/30/11,1.05034
10/31/11,1.00075
11/30/11,1.01738
12/30/11,1.02126
1/31/12,1.00255
2/29/12,0.98992
3/30/12,0.99872
4/30/12,0.98725
5/31/12,1.0328
6/29/12,1.01655
7/31/12,1.00312
8/31/12,0.98627
9/28/12,0.98375
10/31/12,0.99943
11/30/12,0.99435
12/31/12,0.99215
1/31/13,0.9972
2/28/13,1.03065
3/29/13,1.01736
4/30/13,1.00734
5/31/13,1.0375
6/28/13,1.05195
7/31/13,1.02769
8/30/13,1.05374
9/30/13,1.03089
10/31/13,1.0431
11/29/13,1.0614
12/31/13,1.0623
1/31/14,1.11277
2/28/14,1.1064
3/31/14,1.10495
4/30/14,1.09616
5/30/14,1.08456
6/30/14,1.06705
7/31/14,1.09062
8/29/14,1.08785
9/30/14,1.1198
10/31/14,1.1266
11/28/14,1.14159
12/31/14,1.16208
1/30/15,1.27322
2/27/15,1.25149
3/31/15,1.26858
4/30/15,1.20766
5/29/15,1.24538
6/30/15,1.24944
7/31/15,1.3091
8/31/15,1.31397
9/30/15,1.3313
10/30/15,1.30799
11/30/15,1.33623
12/31/15,1.38389
1/29/16,1.3976
2/29/16,1.35403
3/31/16,1.30041
4/29/16,1.2556
5/31/16,1.30927
6/30/16,1.29245
7/29/16,1.30301
8/31/16,1.31049
9/30/16,1.31272
10/31/16,1.34093
11/30/16,1.34375
12/30/16,1.34407
1/31/17,1.30304
2/28/17,1.33006
3/31/17,1.33179
4/28/17,1.36526
5/31/17,1.35001
6/30/17,1.2964
7/31/17,1.24796
8/31/17,1.24817
9/29/17,1.2472
10/31/17,1.28883
11/30/17,1.2897
12/29/17,1.2571
1/31/18,1.23148
2/28/18,1.28314
3/30/18,1.28996
4/30/18,1.28432
5/31/18,1.29575
6/29/18,1.31335
7/31/18,1.30061
8/31/18,1.30405
9/28/18,1.29083
10/31/18,1.3157
11/30/18,1.32921
12/31/18,1.36369
1/31/19,1.31248
2/28/19,1.31715
3/29/19,1.3349
4/30/19,1.33884
5/31/19,1.35163